TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1960Q4,Fisher Quantity Index,"Percent change, annual rate",0,-5.0,T10101
T10101,A191RL,1,Gross domestic product,1961Q1,Fisher Quantity Index,"Percent change, annual rate",0,2.7,T10101
T10101,A191RL,1,Gross domestic product,1961Q2,Fisher Quantity Index,"Percent change, annual rate",0,7.0,T10101
T10101,A191RL,1,Gross domestic product,1961Q3,Fisher Quantity Index,"Percent change, annual rate",0,7.9,T10101
T10101,A191RL,1,Gross domestic product,1961Q4,Fisher Quantity Index,"Percent change, annual rate",0,8.1,T10101
T10101,A191RL,1,Gross domestic product,1962Q1,Fisher Quantity Index,"Percent change, annual rate",0,7.3,T10101
T10101,A191RL,1,Gross domestic product,1962Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.7,T10101
T10101,A191RL,1,Gross domestic product,1962Q3,Fisher Quantity Index,"Percent change, annual rate",0,5.0,T10101
T10101,A191RL,1,Gross domestic product,1962Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.3,T10101
T10101,A191RL,1,Gross domestic product,1963Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1963Q2,Fisher Quantity Index,"Percent change, annual rate",0,4.6,T10101
T10101,A191RL,1,Gross domestic product,1963Q3,Fisher Quantity Index,"Percent change, annual rate",0,9.1,T10101
T10101,A191RL,1,Gross domestic product,1963Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.6,T10101
T10101,A191RL,1,Gross domestic product,1964Q1,Fisher Quantity Index,"Percent change, annual rate",0,8.7,T10101
T10101,A191RL,1,Gross domestic product,1964Q2,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1964Q3,Fisher Quantity Index,"Percent change, annual rate",0,6.4,T10101
T10101,A191RL,1,Gross domestic product,1964Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.2,T10101
T10101,A191RL,1,Gross domestic product,1965Q1,Fisher Quantity Index,"Percent change, annual rate",0,10.0,T10101
T10101,A191RL,1,Gross domestic product,1965Q2,Fisher Quantity Index,"Percent change, annual rate",0,5.2,T10101
